,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
340,Phillip Comee,COMPUTER,59.0,17.0,92.0,86.0,10,2002-10-7
341,Virginia Luna,MECHANICAL,73.0,29.0,60.4,,9,2003-9-22
342,Bobby Gaddie,COMPUTER,49.0,61.0,215.0,79.0,10,2002-5-18
343,Ray Mccue,COMPUTER,72.0,,98.0,63.0,5,2001-11-18
344,Rudy Thomas,MECHANICAL,89.0,99.0,4.0,52.0,9,2001-8-25
345,Florence Hughes,COMPUTER,53.0,45.8,180.0,77.0,3,2003-6-28
346,John Harrington,MECHANICAL,59.0,84.0,88.0,100.0,1,2003-6-10
347,John Jackson,MECHANICAL,38.0,100.0,22.0,59.0,3,2001-3-9
348,Ralph Pannell,MECHANICAL,80.0,56.0,98.0,86.0,4,2003-9-16
349,Heather Lee,COMPUTER,,91.0,38.0,89.0,8,2003-2-21
350,Patricia Gerbatz,COMPUTER,,33.0,77.0,55.0,3,2002-6-19
351,Effie Barnhart,ENTC,37.0,17.0,68.1,82.0,7,2001-8-25
352,William Laureano,MECHANICAL,,60.0,236.0,79.0,7,2003-4-22
353,Robert Chevalier,COMPUTER,97.0,28.0,67.3,100.0,6,2003-4-1
354,Rosemary Sutton,MECHANICAL,,,18.0,41.0,10,2003-12-7
355,James Breeding,COMPUTER,97.0,17.0,54.0,85.0,7,2003-12-30
356,Jamie Unterseher,COMPUTER,46.0,86.0,80.0,69.0,6,2001-9-14
357,Rebecca Mathwich,MECHANICAL,79.0,13.0,13.0,80.0,3,2003-12-25
358,Joseph House,ENTC,62.0,69.0,54.0,36.0,4,2002-2-12
359,Christy Perry,MECHANICAL,64.0,,12.0,80.0,7,2003-11-3
360,Edna Lemire,ENTC,43.0,72.0,19.0,62.0,3,2001-6-12
361,Cindy Jones,COMPUTER,,,54.0,67.0,4,2001-5-2
362,Donna Williams,COMPUTER,61.0,47.7,62.6,75.0,1,2001-10-17
363,Mary Murphy,COMPUTER,,72.0,48.0,66.0,4,2003-5-27
364,Gail Babbitt,MECHANICAL,,54.5,18.0,76.0,7,2001-1-14
365,Beatrice Muller,ENTC,57.0,66.0,33.0,45.0,2,2003-3-19
366,Mary Mckee,ENTC,91.0,4.0,36.0,16.8,10,2002-7-18
367,Eleanor Mason,COMPUTER,56.0,,49.0,48.0,9,2001-5-21
368,Ronald Armbruster,ENTC,43.0,21.0,46.0,19.4,7,2001-2-15
369,Patrick Turner,COMPUTER,77.0,13.0,187.0,15.8,10,2001-8-4
370,Betty Mapston,MECHANICAL,27.0,27.0,225.0,100.0,1,2001-9-19
371,Edna Shupe,COMPUTER,68.0,4.0,72.7,74.0,7,2001-9-2
372,Emil Mcclung,MECHANICAL,54.0,63.0,280.0,,9,2002-11-30
373,Alvin Sturgeon,COMPUTER,75.0,87.0,267.0,56.0,2,2003-9-28
374,Wanda Robison,MECHANICAL,29.0,88.0,61.7,57.0,5,2001-12-11
375,Brandon Yelverton,ENTC,39.0,43.2,32.0,23.2,5,2003-4-10
376,Jolyn Davison,COMPUTER,90.0,57.0,9.0,76.0,1,2001-7-3
377,Charles Gallo,COMPUTER,2.0,56.0,20.0,58.0,9,2001-11-20
378,Wilton Zietlow,COMPUTER,48.0,,31.0,42.0,8,2001-1-22
379,Kenneth Knight,COMPUTER,,5.0,38.0,28.9,6,2002-11-13
380,Melissa Painter,COMPUTER,,77.0,44.0,38.0,3,2003-7-26
381,Chery Ma,ENTC,71.0,99.0,94.0,28.9,3,2002-6-2
382,Alberto Folkers,COMPUTER,62.0,56.0,194.0,43.0,3,2002-11-29
383,Jaimie Smith,COMPUTER,8.0,90.0,58.7,79.0,5,2002-12-6
384,John Sheppard,MECHANICAL,50.0,82.0,70.2,52.0,1,2001-12-9
385,Brian Mcneil,ENTC,81.0,50.7,45.0,65.0,4,2002-6-28
386,Vivian Hemphill,MECHANICAL,67.0,99.0,74.1,4.2,1,2002-4-30
387,James Nay,COMPUTER,,10.0,52.0,63.0,2,2003-7-12
388,Pamela Harrison,COMPUTER,,45.1,87.0,77.0,6,2001-7-29
389,Sheri Vaughan,ENTC,93.0,98.0,49.0,20.0,6,2001-10-19
390,Eric Pina,COMPUTER,80.0,78.0,53.0,86.0,4,2003-11-26
391,Larry Scott,MECHANICAL,62.0,75.0,61.6,71.0,9,2001-10-24
392,Lee Rowe,MECHANICAL,53.0,64.0,27.0,100.0,7,2001-8-17
393,Raymond Terry,ENTC,91.0,80.0,32.0,,3,2001-3-16
394,Charlene Bevis,ENTC,93.0,61.0,36.0,19.6,8,2002-5-30
395,Janice Pettengill,MECHANICAL,43.0,40.0,57.4,85.0,4,2001-9-3
396,Peter Redd,MECHANICAL,43.0,4.0,70.7,82.0,2,2003-8-19
397,Daniel Lewis,MECHANICAL,,,14.0,87.0,8,2001-11-19
398,Joseph Mccain,MECHANICAL,65.0,26.0,17.0,6.2,4,2002-12-14
399,Charles Aultman,COMPUTER,81.0,18.0,19.0,55.0,10,2002-3-25
400,Tara Parent,COMPUTER,46.0,,81.0,11.6,8,2002-3-22
401,Pamela Ange,ENTC,62.0,72.0,74.9,84.0,4,2002-1-30
402,Dana Marrero,ENTC,88.0,99.0,41.0,94.0,9,2001-8-8
403,Jamie Simms,MECHANICAL,45.0,60.0,59.3,35.0,3,2003-3-18
404,Lauren Swift,ENTC,71.0,47.2,78.0,62.0,5,2001-6-24
405,Michael Close,COMPUTER,32.0,48.2,7.0,42.0,8,2003-12-13
406,George Smith,COMPUTER,77.0,66.0,88.0,,6,2001-9-25
407,John Miller,COMPUTER,,39.3,72.6,61.0,4,2001-6-13
408,William Rosales,COMPUTER,47.0,96.0,32.0,,2,2003-5-27
409,Vanessa Bartlett,ENTC,80.0,59.0,12.0,17.0,5,2001-6-16
410,Karen Rock,COMPUTER,,,69.6,19.5,6,2002-2-17
411,Elizabeth Fannin,COMPUTER,,42.9,48.0,21.8,7,2001-12-4
412,Mary Fortin,MECHANICAL,73.0,25.0,27.0,33.5,5,2001-7-2
413,Charles Chiarello,ENTC,79.0,9.0,73.3,,7,2002-6-21
414,John Murphy,COMPUTER,,39.6,54.0,22.0,2,2003-1-4
415,Paula Walker,MECHANICAL,,18.0,69.4,89.0,6,2003-12-30
416,Ingrid Philbrook,ENTC,53.0,95.0,74.6,78.0,6,2002-10-16
417,Heather Long,COMPUTER,,67.0,26.0,56.0,5,2001-1-22
418,Daren Ufford,ENTC,73.0,43.2,246.0,2.9,9,2001-12-13
419,Barbara Albaladejo,MECHANICAL,53.0,73.0,24.0,64.0,9,2001-5-11
420,Anna Gasaway,ENTC,89.0,63.0,62.8,33.0,8,2001-3-17
421,John Voelkel,COMPUTER,82.0,66.0,2.0,6.0,7,2002-9-14
422,Michael Scholes,COMPUTER,71.0,68.0,61.8,69.0,6,2002-4-3
423,Charles Tuenge,ENTC,52.0,32.0,13.0,,10,2002-2-10
424,Steven Sinclair,COMPUTER,2.0,60.0,53.0,45.0,10,2001-7-7
425,Anna Moshier,MECHANICAL,77.0,,35.0,69.0,1,2003-8-13
426,George Barnett,ENTC,46.0,17.0,64.5,77.0,1,2003-1-12
427,Leslie Olivarez,COMPUTER,100.0,53.7,89.0,62.0,4,2001-8-5
428,Gerald Graham,COMPUTER,,66.0,253.0,,6,2001-4-30
429,Tracy Parker,ENTC,,76.0,70.5,,1,2003-7-26
430,Janell Moore,COMPUTER,44.0,40.4,85.0,1.2,4,2001-3-12
431,Carolyn Wood,COMPUTER,92.0,79.0,37.0,1.4,8,2001-1-27
432,Michael Nieves,COMPUTER,57.0,,179.0,41.0,8,2003-12-10
433,Frank Quinn,MECHANICAL,22.0,19.0,73.7,,8,2001-6-5
434,Jeffrey Steitz,ENTC,89.0,64.0,40.0,93.0,3,2003-11-25
435,Anna Sheffield,MECHANICAL,,13.0,74.7,33.3,3,2003-10-23
436,Anthony Lopez,COMPUTER,7.0,,99.0,81.0,9,2003-11-26
437,James Dority,COMPUTER,,67.0,51.0,85.0,10,2001-8-18
438,Arthur Sluka,COMPUTER,,7.0,29.0,2.2,1,2001-4-7
439,Julius Toppa,COMPUTER,37.0,58.0,66.3,,7,2001-8-17
440,Mary Ritz,ENTC,57.0,35.8,47.0,6.7,1,2002-5-6
441,Terri Gray,ENTC,59.0,100.0,58.4,87.0,1,2003-2-10
442,James Reffitt,MECHANICAL,28.0,26.0,54.0,69.0,1,2003-12-12
443,Cynthia Appling,COMPUTER,67.0,31.0,100.0,,9,2001-12-3
444,Leslie Mccaslin,MECHANICAL,63.0,49.0,68.0,92.0,4,2001-1-20
445,Donald Jenkins,COMPUTER,83.0,2.0,55.0,62.0,2,2003-1-25
446,Helen Dion,MECHANICAL,70.0,99.0,69.0,65.0,10,2001-10-18
447,Angela Oliver,MECHANICAL,60.0,17.0,15.0,94.0,8,2002-1-1
448,Michael Brinkman,MECHANICAL,70.0,33.0,54.0,64.0,7,2001-12-13
449,Dorothy Cooper,COMPUTER,94.0,35.0,77.0,43.0,4,2001-1-21
450,Maryellen Kohnke,MECHANICAL,,58.0,73.9,63.0,9,2002-2-26
451,Maggie Martinez,COMPUTER,48.0,8.0,47.0,,1,2001-8-10
452,Arthur Reyes,MECHANICAL,13.0,34.0,7.0,16.7,5,2001-11-12
453,Donald Parker,COMPUTER,87.0,93.0,1.0,72.0,4,2003-8-11
454,Dorothy Torros,COMPUTER,52.0,9.0,71.7,46.0,9,2002-11-25
455,Joseph Morris,MECHANICAL,,76.0,78.0,,2,2002-2-8
456,Cheryl Taylor,COMPUTER,55.0,82.0,295.0,14.9,8,2003-9-13
457,Natalie Parsons,COMPUTER,47.0,,38.0,90.0,2,2001-11-21
458,Michelle Calderon,ENTC,21.0,72.0,13.0,53.0,5,2002-1-30
459,Misty Houston,MECHANICAL,60.0,35.0,62.0,99.0,10,2001-8-25
460,Michelle Duran,ENTC,92.0,3.0,53.0,60.0,10,2003-10-17
461,Christopher Norman,ENTC,52.0,46.9,33.0,52.0,10,2002-8-8
462,Patrick Schmidt,ENTC,75.0,5.0,6.0,,7,2002-11-10
463,Alex Torres,COMPUTER,47.0,20.0,60.3,58.0,10,2001-5-5
464,Howard Gray,MECHANICAL,38.0,5.0,1.0,93.0,9,2002-3-27
465,Malcolm Blackburn,MECHANICAL,,62.0,7.0,,8,2001-9-25
466,Ella Everette,COMPUTER,63.0,40.0,91.0,66.0,7,2001-4-6
467,Charlotte Marquez,COMPUTER,50.0,94.0,21.0,64.0,7,2003-8-28
468,Kevin Carr,MECHANICAL,2.0,,231.0,94.0,2,2003-7-11
469,Louis Salem,COMPUTER,77.0,71.0,56.0,32.6,2,2002-8-27
470,Joseph Arredondo,ENTC,50.0,38.0,15.0,71.0,5,2003-6-17
471,Deborah Norris,COMPUTER,20.0,1.0,67.3,,9,2001-6-20
472,Sandra Thompson,MECHANICAL,90.0,68.0,11.0,75.0,5,2003-5-20
473,Scott Franklin,MECHANICAL,72.0,18.0,95.0,50.0,3,2003-3-21
474,Ricky Allen,COMPUTER,52.0,3.0,1.0,96.0,4,2003-10-14
475,Faye Meyers,ENTC,83.0,52.9,21.0,65.0,1,2003-1-3
476,Joseph Farley,COMPUTER,3.0,97.0,182.0,,5,2001-4-26
477,Kathryn Johns,COMPUTER,12.0,76.0,39.0,94.0,6,2002-9-6
478,Barbra Franco,MECHANICAL,56.0,74.0,72.3,,10,2003-5-4
479,Charlena Jarvis,COMPUTER,100.0,54.5,30.0,31.5,10,2003-8-18
480,Joseph Tanner,ENTC,90.0,69.0,27.0,32.9,1,2001-6-2
481,Aaron Ferreira,COMPUTER,44.0,70.0,25.0,70.0,5,2001-9-5
482,Harriett Green,ENTC,55.0,74.0,62.4,95.0,5,2002-4-4
483,Florence Walker,MECHANICAL,45.0,49.8,42.0,61.0,7,2003-9-8
484,Christine Devito,MECHANICAL,53.0,52.2,40.0,20.2,10,2001-12-17
485,Donald Provencal,ENTC,38.0,19.0,80.0,56.0,2,2001-4-1
486,Jon Otto,COMPUTER,66.0,,37.0,31.8,2,2002-9-29
487,Winfred Jones,COMPUTER,33.0,90.0,71.2,10.7,6,2003-12-8
488,Chad Blakney,COMPUTER,70.0,80.0,281.0,62.0,1,2002-10-12
489,Ronald Stoudenmire,ENTC,95.0,57.0,245.0,22.7,4,2002-8-30
490,Carol Hickey,ENTC,59.0,73.0,63.1,61.0,8,2001-1-8
491,Betty Amerman,COMPUTER,18.0,86.0,36.0,33.1,3,2002-6-29
492,Ted Gonzalez,MECHANICAL,51.0,35.0,58.7,62.0,8,2003-6-26
493,Michael Williams,MECHANICAL,,,58.6,98.0,9,2001-7-9
494,Diana Baillargeon,MECHANICAL,8.0,86.0,22.0,98.0,9,2003-12-24
495,Deborah Hochstetler,ENTC,56.0,20.0,21.0,29.5,7,2002-10-8
496,Karen Price,COMPUTER,13.0,,42.0,27.2,6,2001-1-14
497,Carolyn Davis,ENTC,47.0,,36.0,58.0,1,2002-2-27
498,Henry White,COMPUTER,36.0,37.4,50.0,79.0,8,2002-5-7
499,Robert Allen,COMPUTER,25.0,62.0,1.0,,5,2003-3-2
500,Roosevelt Currie,ENTC,39.0,98.0,66.2,75.0,6,2003-4-25
501,Eleanor Hill,COMPUTER,58.0,40.7,36.0,,6,2003-4-23
502,Francisco Loveless,ENTC,,9.0,6.0,5.5,9,2002-4-21
503,Taylor Garceau,ENTC,70.0,,88.0,,4,2003-11-28
504,Dennis Kimmel,ENTC,72.0,56.0,50.0,,4,2002-10-6
505,Brynn Macdonald,COMPUTER,79.0,93.0,35.0,46.0,2,2003-9-9
506,Gayle Pickering,COMPUTER,37.0,7.0,67.0,88.0,6,2002-1-23
507,Paulette Woytowich,COMPUTER,25.0,,15.0,54.0,3,2002-12-30
508,Kristie Stevens,MECHANICAL,92.0,82.0,45.0,56.0,2,2001-5-11
509,Maria Ward,COMPUTER,21.0,27.0,70.5,83.0,4,2003-1-30
510,Paul Renk,COMPUTER,64.0,12.0,80.0,21.8,2,2003-4-13
511,Tammy Hampton,COMPUTER,,91.0,2.0,6.0,2,2002-1-26
512,Daniel Owens,COMPUTER,36.0,59.0,63.0,,4,2002-11-14
513,Beatrice Petersen,MECHANICAL,75.0,37.2,68.4,75.0,2,2003-11-6
514,Michael Alsip,ENTC,89.0,82.0,23.0,,8,2001-12-16
515,Dana Williams,ENTC,43.0,65.0,5.0,,2,2003-9-29
516,Kenneth Sydnor,ENTC,53.0,65.0,70.9,19.2,6,2001-2-12
517,Guy Brown,COMPUTER,18.0,24.0,52.0,,1,2001-1-6
518,Christopher Rice,ENTC,99.0,98.0,74.0,76.0,9,2003-11-24
519,Earlene Guild,COMPUTER,91.0,85.0,92.0,85.0,1,2001-7-9
520,Wendy Castro,MECHANICAL,39.0,26.0,38.0,90.0,2,2002-6-13
521,Richard Watson,MECHANICAL,58.0,41.5,82.0,59.0,3,2003-8-18
522,Lois Fronczak,ENTC,73.0,11.0,19.0,40.0,6,2001-9-18
523,Diana Overton,COMPUTER,33.0,98.0,96.0,55.0,1,2003-11-2
524,Kimberly Maxfield,MECHANICAL,65.0,62.0,96.0,55.0,5,2002-6-19
525,Johnny Vessey,COMPUTER,84.0,82.0,40.0,58.0,10,2003-7-30
526,Wilda Dailey,MECHANICAL,18.0,62.0,210.0,33.2,6,2002-5-29
527,Robert Magee,COMPUTER,47.0,75.0,54.0,56.0,4,2002-1-6
528,William Thompson,COMPUTER,76.0,92.0,71.3,15.2,1,2003-3-1
529,Doris Luttrell,COMPUTER,74.0,58.0,45.0,88.0,8,2001-2-17
530,Carmela Crown,ENTC,46.0,27.0,51.0,44.0,9,2001-12-11
531,Guy Babbitt,MECHANICAL,42.0,100.0,54.0,60.0,4,2001-2-13
532,Dorothy Boehman,ENTC,49.0,16.0,38.0,22.4,7,2002-2-11
533,Anna Patton,COMPUTER,30.0,13.0,288.0,,6,2001-2-3
534,Kelly Woo,COMPUTER,94.0,25.0,52.0,63.0,4,2001-8-15
535,Justin Vidales,COMPUTER,42.0,,58.2,,5,2003-11-19
536,Samuel Snowden,ENTC,43.0,44.0,69.9,20.5,4,2003-5-10
537,Kathy Delossantos,COMPUTER,80.0,,193.0,58.0,4,2002-11-11
538,Rick Wilkinson,COMPUTER,79.0,61.0,267.0,26.3,2,2001-3-9
539,Vickie Haney,COMPUTER,48.0,75.0,216.0,74.0,6,2002-1-7
540,Roger Gurney,ENTC,38.0,84.0,70.0,72.0,7,2001-3-13
541,Dominique Hammond,ENTC,,10.0,46.0,80.0,10,2003-10-9
542,Gemma Frank,COMPUTER,39.0,78.0,58.2,,7,2003-9-17
543,Gail Bolla,MECHANICAL,73.0,,42.0,,6,2002-8-16
544,Jimmy Dover,ENTC,89.0,25.0,1.0,26.8,1,2003-11-6
545,Foster Brown,COMPUTER,75.0,88.0,72.7,85.0,8,2001-4-23
546,Suzanne Dobbs,COMPUTER,93.0,,32.0,63.0,1,2001-7-21
547,James Darrigo,MECHANICAL,47.0,,40.0,85.0,1,2002-12-4
548,Andrea Sheppard,COMPUTER,27.0,28.0,25.0,65.0,6,2002-7-30
549,Latonia Rodriguez,COMPUTER,69.0,,75.0,,10,2003-2-24
550,Edith Battey,COMPUTER,68.0,46.6,97.0,78.0,7,2001-1-30
551,Janine Coley,COMPUTER,,67.0,74.5,77.0,2,2003-12-20
552,Sidney Pineda,COMPUTER,69.0,1.0,66.3,5.4,9,2002-6-15
553,Hien Guin,ENTC,57.0,96.0,162.0,14.5,7,2002-3-17
554,Antonia Szekely,COMPUTER,69.0,21.0,82.0,87.0,9,2001-7-6
555,Alyssa Jones,COMPUTER,43.0,67.0,46.0,20.5,2,2001-5-15
556,William Thole,MECHANICAL,23.0,27.0,62.6,,9,2003-3-18
557,Norma Lisbey,COMPUTER,58.0,100.0,16.0,,8,2002-2-2
558,Norman Hayes,ENTC,40.0,24.0,217.0,73.0,5,2002-9-16
559,Milton Ibrahim,MECHANICAL,53.0,,17.0,61.0,8,2002-5-7
560,Robert Grubbs,MECHANICAL,77.0,81.0,42.0,53.0,9,2003-11-18
561,Robert Garrison,COMPUTER,98.0,100.0,190.0,94.0,9,2003-6-6
562,Vera Nicholas,ENTC,59.0,91.0,63.0,92.0,10,2001-1-5
563,Lonny Nelson,COMPUTER,55.0,,56.7,44.0,1,2002-5-20
564,Samuel Ealand,COMPUTER,36.0,24.0,90.0,99.0,5,2001-3-12
565,Fred Mutchler,COMPUTER,,15.0,251.0,23.4,5,2002-5-15
566,Johana Cleveland,MECHANICAL,34.0,18.0,66.1,7.7,10,2002-10-29
567,Mary Manley,MECHANICAL,39.0,68.0,25.0,,1,2002-2-2
568,Dolores Ford,ENTC,,58.0,71.3,56.0,3,2001-9-24
569,Nolan Brei,COMPUTER,76.0,85.0,5.0,78.0,8,2001-2-6
570,Ramiro Kervin,COMPUTER,,65.0,30.0,73.0,7,2003-3-6
571,Loretta Brown,COMPUTER,40.0,96.0,18.0,,8,2002-12-9
572,Mary Wms,COMPUTER,50.0,59.0,35.0,40.0,5,2001-1-25
573,Deborah Phagan,COMPUTER,37.0,58.0,23.0,89.0,7,2001-4-4
574,Milton Jenkins,COMPUTER,62.0,87.0,6.0,18.2,7,2002-2-10
575,Jason Hanson,COMPUTER,80.0,33.0,1.0,74.0,3,2002-2-7
576,Vera Strunk,MECHANICAL,32.0,,36.0,1.5,4,2002-10-26
577,Christina Shaffstall,COMPUTER,60.0,53.9,99.0,78.0,3,2001-5-9
578,Robert Mckinney,COMPUTER,88.0,40.8,2.0,57.0,10,2003-3-18
579,Gail Parton,COMPUTER,44.0,31.0,4.0,20.5,5,2001-4-5
580,Harry Clark,COMPUTER,96.0,86.0,84.0,51.0,1,2003-5-10
581,Pamela Hudnall,MECHANICAL,81.0,,51.0,66.0,5,2003-1-18
582,Peter Pickett,COMPUTER,65.0,54.0,40.0,91.0,2,2003-5-16
583,Michael Patel,COMPUTER,31.0,,60.4,68.0,7,2003-4-4
584,Anna Rock,COMPUTER,43.0,97.0,246.0,61.0,9,2001-3-24
585,Phillip Keenan,MECHANICAL,86.0,74.0,59.5,84.0,4,2001-3-10
586,Melonie Meadows,COMPUTER,53.0,98.0,72.0,,2,2002-5-19
587,James Land,MECHANICAL,52.0,75.0,9.0,37.0,2,2002-7-9
588,Mary Carter,COMPUTER,56.0,57.0,34.0,6.3,3,2002-1-11
589,Michael Robinson,COMPUTER,90.0,91.0,5.0,56.0,9,2002-10-14
590,Martha Butler,MECHANICAL,67.0,46.1,287.0,97.0,10,2003-5-14
591,Claudia Terry,COMPUTER,79.0,67.0,248.0,69.0,2,2002-1-8
592,Steven Maeder,COMPUTER,13.0,82.0,9.0,75.0,1,2002-10-11
593,Mark Lopez,ENTC,,82.0,82.0,6.5,5,2001-4-29
594,Tonia Lewis,COMPUTER,41.0,,161.0,4.2,3,2001-2-4
595,Michael Lewis,MECHANICAL,50.0,22.0,48.0,76.0,8,2002-6-25
596,Michelle Salcedo,COMPUTER,78.0,51.1,58.5,48.0,6,2002-10-5
597,Joseph Mcconnell,COMPUTER,79.0,71.0,65.1,33.5,8,2002-1-19
598,Freddy Stanton,COMPUTER,90.0,6.0,282.0,42.0,6,2002-8-5
599,Carla Jackson,MECHANICAL,,69.0,79.0,93.0,1,2003-6-10
600,Allene Meecham,ENTC,46.0,13.0,29.0,98.0,9,2002-7-30
601,Carl Auld,ENTC,58.0,22.0,98.0,,7,2001-6-12
602,Lena Davis,MECHANICAL,2.0,72.0,42.0,29.4,6,2003-7-6
603,Charles Ruhlin,COMPUTER,31.0,27.0,55.0,89.0,2,2002-12-12
604,Ramon Sluka,COMPUTER,86.0,75.0,19.0,2.7,1,2001-11-26
605,Rosa Dougherty,COMPUTER,,99.0,69.7,,3,2003-12-22
606,Stanley Hernandez,COMPUTER,100.0,74.0,61.6,96.0,4,2001-12-10
607,Betsy Robbins,MECHANICAL,90.0,,31.0,28.8,10,2002-3-6
608,Paulette Moore,COMPUTER,50.0,98.0,73.5,34.8,9,2002-9-28
609,Carole Ledford,ENTC,93.0,,77.0,71.0,5,2002-9-12
610,Andrew Leth,ENTC,60.0,46.1,5.0,,3,2003-10-29
611,Harry Valdez,ENTC,10.0,51.9,53.0,86.0,10,2002-8-22
612,Helen Jewell,MECHANICAL,41.0,,15.0,80.0,9,2003-12-30
613,George Scordato,MECHANICAL,50.0,69.0,46.0,87.0,5,2001-5-12
614,Laura Beard,MECHANICAL,24.0,73.0,42.0,,9,2001-9-20
615,Theresa Mastin,COMPUTER,88.0,65.0,291.0,61.0,7,2002-4-17
616,Hazel Moore,COMPUTER,87.0,11.0,30.0,56.0,7,2003-9-25
617,Jay Walp,COMPUTER,31.0,95.0,68.1,93.0,1,2003-9-24
618,Roland Lieu,MECHANICAL,62.0,4.0,35.0,96.0,9,2002-1-14
619,George John,MECHANICAL,97.0,28.0,25.0,49.0,10,2001-11-12
620,Alda Smith,COMPUTER,84.0,59.0,12.0,52.0,5,2003-7-21
621,Florence Morin,COMPUTER,47.0,18.0,4.0,93.0,9,2002-5-3
622,Richard Sherrill,COMPUTER,21.0,69.0,42.0,73.0,8,2001-1-27
623,Sharon Williams,COMPUTER,13.0,87.0,57.7,100.0,9,2002-8-19
624,William Salazar,MECHANICAL,94.0,20.0,11.0,25.7,3,2001-4-30
625,Estelle Robinson,ENTC,58.0,47.0,209.0,50.0,9,2001-3-29
626,Tammy Smith,COMPUTER,51.0,15.0,52.0,,7,2001-5-13
627,Kathryn Ochoa,COMPUTER,68.0,23.0,41.0,27.5,5,2002-2-8
628,Jean King,COMPUTER,42.0,11.0,20.0,58.0,8,2002-5-6
629,Randal Vesco,MECHANICAL,19.0,40.8,64.8,49.0,9,2003-8-11
630,Velma Brady,COMPUTER,13.0,72.0,39.0,14.2,4,2003-4-5
631,Bret Goode,MECHANICAL,65.0,7.0,100.0,23.2,5,2002-7-11
632,Betty Dewick,COMPUTER,68.0,3.0,76.0,58.0,7,2001-11-1
633,Hyun Dickerson,COMPUTER,41.0,,14.0,32.8,1,2003-1-15
634,Doris Wiley,ENTC,,81.0,72.8,13.3,2,2001-10-25
635,Donna Luckie,MECHANICAL,65.0,92.0,207.0,46.0,10,2003-7-28
636,James Chambers,COMPUTER,,99.0,45.0,66.0,5,2003-3-7
637,Janet Krueger,COMPUTER,77.0,56.0,199.0,90.0,5,2002-10-11
638,Geraldine Peters,COMPUTER,66.0,18.0,300.0,66.0,3,2002-4-21
639,Melvin Alexander,COMPUTER,70.0,73.0,52.0,81.0,8,2001-7-10
640,Mary Carlson,ENTC,,67.0,29.0,6.0,2,2002-1-9
641,William Bowers,COMPUTER,94.0,15.0,34.0,68.0,7,2003-6-12
642,Stephane Boyett,COMPUTER,82.0,14.0,2.0,13.4,7,2002-2-26
643,Debra Mcinnis,ENTC,43.0,80.0,44.0,58.0,4,2003-9-29
644,April Michael,MECHANICAL,,44.5,21.0,77.0,10,2002-7-15
645,Renee Brown,ENTC,,20.0,8.0,58.0,6,2003-10-7
646,Lillian Cardone,ENTC,69.0,26.0,23.0,85.0,8,2002-4-17
647,Eugena Newhouse,COMPUTER,63.0,75.0,272.0,7.3,8,2003-10-29
648,James Landsman,MECHANICAL,,61.0,18.0,65.0,7,2003-3-17
649,Jenell Jone,COMPUTER,,72.0,86.0,,4,2003-12-11
650,Lori Meyer,MECHANICAL,58.0,22.0,16.0,33.9,2,2001-9-26
651,David Brawn,COMPUTER,,54.8,28.0,,7,2002-9-26
652,Diane Bautista,COMPUTER,90.0,95.0,209.0,99.0,7,2001-7-20
653,Joesph Singleton,ENTC,74.0,80.0,44.0,,7,2002-7-22
654,Dianne Guay,COMPUTER,47.0,35.0,39.0,20.6,6,2002-6-16
655,Anna Mcmanus,COMPUTER,85.0,56.0,11.0,80.0,5,2003-4-1
656,Ann Snellen,ENTC,83.0,73.0,251.0,25.4,6,2002-1-23
657,Esperanza Losinski,MECHANICAL,43.0,85.0,57.3,96.0,7,2003-1-13
658,Maxine Bonilla,ENTC,43.0,87.0,24.0,33.9,6,2002-1-28
659,Alice Hill,MECHANICAL,40.0,,39.0,31.1,8,2003-3-7
660,Melissa Rader,COMPUTER,65.0,24.0,41.0,94.0,1,2002-9-10
661,Robert Young,ENTC,50.0,1.0,73.7,81.0,6,2001-7-1
662,Warren Edgington,MECHANICAL,40.0,2.0,73.2,85.0,3,2003-10-19
663,Linda Oros,MECHANICAL,,88.0,6.0,,8,2002-11-16
664,Alice Williams,COMPUTER,77.0,36.6,84.0,56.0,1,2001-2-13
665,Richard Kennedy,COMPUTER,,98.0,61.6,8.0,6,2002-10-20
666,Bill Peterson,COMPUTER,,31.0,252.0,29.6,9,2001-8-15
667,Joseph Ragland,MECHANICAL,99.0,35.5,7.0,49.0,2,2003-9-28
668,James Loy,ENTC,,61.0,259.0,,6,2001-1-24
669,Elmer Vermillion,COMPUTER,66.0,66.0,98.0,93.0,7,2001-6-7
670,Anne Hillebrandt,COMPUTER,,65.0,83.0,72.0,8,2002-5-21
671,Gilda Coleman,COMPUTER,45.0,73.0,20.0,41.0,10,2003-7-10
672,Mary Moutoux,COMPUTER,65.0,17.0,14.0,1.2,10,2001-8-1
673,Michael Helfritz,ENTC,2.0,100.0,65.1,8.3,8,2002-12-6
674,Velia Allen,ENTC,93.0,100.0,277.0,19.4,10,2001-8-8
675,Berry Robinson,MECHANICAL,32.0,,71.0,76.0,7,2002-12-29
676,Jerry Burt,MECHANICAL,36.0,4.0,62.4,,8,2002-2-8
677,Toni Rogers,MECHANICAL,40.0,65.0,18.0,,2,2003-9-3
678,Melissa Young,ENTC,43.0,100.0,83.0,,6,2001-10-29
679,Dorothy Castillo,MECHANICAL,91.0,87.0,65.0,6.8,9,2001-11-21
680,Roy Stevenson,MECHANICAL,64.0,72.0,64.5,5.5,8,2002-7-16
